"TOA5","ILHA SOLTEIRA-SP","CR1000X","23875","CR1000X.Std.04.02","CPU:ILHA SOLTEIRA_SP_Rev01.CR1X","18206","Tab_dados_ILHA_SP"
"TIMESTAMP","RECORD","ILHA_SP_20.398447_51.356792_314m","Vel_Avg","Vel_Max","Vel_Min","Vel_Std","Temp_Avg","Temp_Max","Temp_Min","Temp_Std","UR_Avg","UR_Max","UR_Min","UR_Std","GHI1_Avg","GHI1_Max","GHI1_Min","GHI1_Std","GHI2_Avg","GHI2_Max","GHI2_Min","GHI2_Std","GHI3_Avg","GHI3_Max","GHI3_Min","GHI3_Std","GRI_Avg","GRI_Max","GRI_Min","GRI_Std","ALB1_Avg","ALB1_Max","ALB1_Min","ALB1_Std","ALB2_Avg","ALB2_Max","ALB2_Min","ALB2_Std","ALB3_Avg","ALB3_Max","ALB3_Min","ALB3_Std","Cell_Isc_Avg","Cell_Isc_Max","Cell_Isc_Min","Cell_Isc_Std","Cell_Temp_Avg","Cell_Temp_Max","Cell_Temp_Min","Cell_Temp_Std","BattV_Min","PTemp_C"
"TS","RN","","m/s","m/s","m/s","m/s","Deg C","Deg C","Deg C","Deg C","RH","RH","RH","RH","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m²","W/m²","W/m²","W/m²","W/m^2","W/m^2","W/m^2","W/m^2","","","","","","","","","","","","","Amps","Amps","Amps","Amps","°C","°C","°C","°C","Volts","Deg C"
"","","Smp:Sample","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Min","Smp"
2024-07-05 00:00:00,1211564,1,1.149,2.047,0.0,0.409,23.7,23.74,23.67,0.021,70.94,71.45,70.25,0.396,-1.333414,-1.306737,-1.365455,0.01583765,-1.176813,-1.143339,-1.219437,0.02157212,0.0,0.0,0.0,0.0,0.6980814,0.7393039,0.6643336,0.0176711,-0.5248229,-0.4865291,-0.5628271,0.01896378,-0.5950021,-0.546366,-0.6408615,0.02553567,NAN,inf,inf,NAN,0.0002231908,0.0002240957,0.0002225518,3.592886e-07,24.99776,25.04901,24.94977,0.02130267,12.6,23.3
2024-07-05 00:01:00,1211565,1,1.456,2.047,0.0,0.615,23.55,23.69,23.37,0.087,64.11,70.72,61.74,3.222,-1.397603,-1.35674,-1.430504,0.01992217,-1.322538,-1.217389,-1.424898,0.06465258,0.0,0.0,0.0,0.0,0.6394118,0.6785399,0.5729402,0.02969461,-0.4594201,-0.4047029,-0.4950649,0.0264044,-0.4881818,-0.4039747,-0.5562834,0.04431042,NAN,inf,inf,NAN,0.0002232379,0.000224353,0.0002222945,4.004645e-07,24.94679,25.02865,24.86253,0.04397524,12.61,23.32
2024-07-05 00:02:00,1211566,1,1.196,2.047,0.0,0.412,23.19,23.39,23.02,0.111,63.0,63.59,62.1,0.47,-1.502295,-1.429723,-1.605499,0.05154287,-1.551366,-1.424127,-1.682402,0.06856298,0.0,0.0,0.0,0.0,0.4069591,0.5745803,0.2242017,0.1028056,-0.2778526,-0.1484088,-0.4018822,0.07689805,-0.2702066,-0.1411511,-0.4034614,0.0775925,NAN,inf,inf,NAN,0.0002230535,0.0002238383,0.0002220372,4.025466e-07,24.79367,24.88865,24.71784,0.04515164,12.61,23.34
2024-07-05 00:03:00,1211567,1,0.894,1.247,0.0,0.562,22.87,23.02,22.74,0.075,63.61,63.86,63.28,0.187,-1.718049,-1.595445,-1.841712,0.0685013,-1.839221,-1.687115,-1.98338,0.08578836,0.0,0.0,0.0,0.0,0.05311255,0.2250343,-0.1137004,0.09779752,-0.03658472,0.05873754,-0.141048,0.0586164,-0.03460632,0.05484131,-0.1332629,0.05518564,NAN,inf,-inf,NAN,0.0002228177,0.0002238383,0.0002220372,4.174626e-07,24.66931,24.76276,24.61128,0.03852731,12.6,23.35
2024-07-05 00:04:00,1211568,1,0.353,1.247,0.0,0.562,22.68,22.77,22.61,0.042,63.88,64.0,63.65,0.115,-1.960517,-1.835474,-2.080652,0.06942789,-2.102251,-1.976187,-2.221635,0.06747206,0.0,0.0,0.0,0.0,-0.2530682,-0.1114973,-0.3742809,0.07422204,0.1259639,0.1804104,0.0607458,0.03393082,0.1175653,0.169097,0.05642044,0.03204751,NAN,-inf,-inf,NAN,0.0002223288,0.0002233237,0.0002210079,4.418604e-07,24.57464,24.65775,24.51307,0.03199556,12.61,23.36
2024-07-05 00:05:00,1211569,1,0.0,0.0,0.0,0.0,22.59,22.64,22.54,0.019,63.96,64.66,63.68,0.289,-2.17091,-2.076844,-2.253854,0.05058303,-2.307114,-2.2111,-2.397218,0.05468295,0.0,0.0,0.0,0.0,-0.4491665,-0.369452,-0.5084124,0.04003439,0.205851,0.2270007,0.1773308,0.01412713,0.1936664,0.2132453,0.1657166,0.01334998,NAN,-inf,-inf,NAN,0.0002216212,0.0002225518,0.0002207506,4.070877e-07,24.51179,24.55747,24.44987,0.02716659,12.6,23.37
2024-07-05 00:06:00,1211570,1,1.651,2.047,0.0,0.536,22.49,22.57,22.41,0.039,64.84,65.41,64.65,0.138,-2.253719,-2.217025,-2.2758,0.01431953,-2.42862,-2.390748,-2.449664,0.01439097,0.0,0.0,0.0,0.0,-0.5288748,-0.5013503,-0.5527155,0.01321942,0.2342998,0.2493051,0.2217258,0.006828239,0.2174586,0.228076,0.2087374,0.004693737,NAN,-inf,-inf,NAN,0.0002211409,0.0002220372,0.000220236,4.027238e-07,24.45028,24.51988,24.39451,0.02557823,12.6,23.38
2024-07-05 00:07:00,1211571,1,1.465,2.047,0.0,0.504,22.46,22.51,22.43,0.021,66.54,67.2,65.57,0.39,-2.170491,-2.131299,-2.220911,0.02566805,-2.337058,-2.28417,-2.417083,0.03694146,0.0,0.0,0.0,0.0,-0.552298,-0.5306118,-0.5663792,0.008862917,0.2544284,0.2633633,0.2429872,0.004366793,0.2362448,0.2439743,0.2241028,0.004899488,NAN,-inf,-inf,NAN,0.0002205362,0.0002215226,0.0002197214,4.099842e-07,24.41073,24.44728,24.35744,0.01658899,12.6,23.38
