"TOA5","PIRASSUNUNGA-SP","CR3000","9232","CR3000.Std.27","CPU:ES02_Pirassununga_CTGAS-ER_SONDA_V6.CR3","37964","Tabela_ES02"
"TIMESTAMP","RECORD","ID","Ano","Dia","MinDia","T_Bat","TEMP_Avg","TEMP_Max","TEMP_Min","TEMP_Std","UR_Avg","UR_Max","UR_Min","UR_Std","PRES_Avg","PRES_Max","PRES_Min","PRES_Std","Prec_Tot","VEL_Avg","VEL_Max","VEL_Min","VEL_Std","DIR_Avg","DIR_Max","DIR_Min","DIR_Std","GHI1_Avg","GHI1_Max","GHI1_Min","GHI1_Std","DHI_Avg","DHI_Max","DHI_Min","DHI_Std","BNI_Avg","BNI_Max","BNI_Min","BNI_Std","Temp_BNI","Res_BNI","LWD_Avg","LWD_Std","LWD_Max","LWD_Min","OLD_Avg","OLD_Std","OLD_Max","OLD_Min","Temp_OLD","Res_OLD"
"TS","RN","","","","","Volts","Deg C","Deg C","Deg C","Deg C","%","%","%","%","mbar","mbar","mbar","mbar","mm","meters/second","meters/second","meters/second","meters/second","degrees","degrees","degrees","degrees","W/meter²","W/meter²","W/meter²","W/meter²","W/meter²","W/meter²","W/meter²","W/meter²","W/meter²","W/meter²","W/meter²","W/meter²","Deg C","ohm","W/meter²","W/meter²","W/meter²","W/meter²","W/meter²","W/meter²","W/meter²","W/meter²","Deg C","ohm"
"","","Smp","Smp","Smp","Smp","Smp","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Tot","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Smp","Smp","Avg","Std","Max","Min","Avg","Std","Max","Min","Smp","Smp"
2024-07-02 10:47:00,8352,2,2024,184,646,13.22,16.55,16.64,16.42,0.054,0.741,0.835,0.619,0.06,952,952,952.0,0.045,0,2.007,2.45,1.46,0.234,42.03,59,15,11.97,638.9,640.5,636.9,0.877,84.1,84.5,83.9,0.192,857.0,859.0,854.0,1.038,20.09,12214.56,319.0,0.221,319.5,318.7,-91.7,0.138,-91.3,-91.9,18.64,12973.49
2024-07-02 10:48:00,8353,2,2024,184,647,13.21,16.56,16.7,16.37,0.083,0.668,0.739,0.612,0.025,952,952,952.0,0.03,0,1.588,2.29,0.75,0.363,50.18,106,27,13.07,639.4,640.2,638.8,0.398,83.9,84.0,83.8,0.041,856.0,858.0,855.0,0.844,20.12,12198.69,319.7,0.202,320.1,319.4,-91.4,0.211,-90.9,-91.6,18.65,12965.67
2024-07-02 10:49:00,8354,2,2024,184,648,13.25,16.44,16.51,16.37,0.04,0.726,0.835,0.622,0.064,952,952,952.0,0.03,0,1.814,3.02,1.11,0.457,80.2,357,0,99.8,640.5,641.9,639.2,0.755,84.2,84.6,84.0,0.213,856.0,858.0,852.0,1.952,20.1,12209.22,319.7,0.182,320.0,319.4,-91.7,0.217,-91.1,-91.9,18.75,12911.79
2024-07-02 10:50:00,8355,2,2024,184,649,13.21,16.63,16.74,16.5,0.062,0.684,0.788,0.615,0.041,952,952,952.0,0.031,0,1.707,2.18,0.75,0.315,29.17,45,6,7.862,639.8,642.3,638.0,1.334,84.5,84.6,84.4,0.066,852.0,856.0,850.0,1.619,20.11,12202.72,320.1,0.2,320.5,319.9,-91.7,0.235,-91.2,-92.0,18.8,12887.11
2024-07-02 10:51:00,8356,2,2024,184,650,13.25,16.58,16.73,16.47,0.077,0.706,0.825,0.622,0.058,952,952,952.0,0.027,0,1.497,2.59,0.42,0.482,53.62,359,1,78.74,644.8,646.3,642.3,1.095,84.6,85.1,84.4,0.217,858.0,860.0,855.0,1.258,20.11,12204.67,320.5,0.323,321.0,319.9,-91.6,0.357,-90.9,-92.1,18.88,12844.9
2024-07-02 10:52:00,8357,2,2024,184,651,13.21,16.89,17.14,16.69,0.103,0.706,0.838,0.619,0.058,952,952,952.0,0.024,0,1.962,2.98,1.4,0.335,56.67,82,29,16.96,644.9,645.5,644.4,0.267,85.5,85.7,85.1,0.172,855.0,857.0,853.0,1.03,20.16,12177.26,321.0,0.778,322.1,320.1,-91.5,0.769,-90.5,-92.3,18.91,12826.6
2024-07-02 10:53:00,8358,2,2024,184,652,13.25,16.91,17.18,16.55,0.219,0.689,0.802,0.619,0.044,952,952,952.0,0.028,0,1.857,2.51,1.09,0.313,92.5,115,47,11.67,644.5,645.6,643.8,0.388,85.6,85.7,85.3,0.114,853.0,854.0,851.0,0.677,20.19,12162.97,320.3,0.502,321.5,319.7,-92.5,0.649,-91.1,-93.2,19.02,12766.96
2024-07-02 10:54:00,8359,2,2024,184,653,13.21,16.6,16.77,16.37,0.115,0.726,0.838,0.619,0.065,952,952,952.0,0.027,0,0.818,1.55,0.15,0.392,171.5,332,82,71.78,648.3,652.2,645.8,1.393,85.2,85.3,85.2,0.03,857.0,859.0,854.0,0.968,20.27,12122.13,320.8,0.3,321.2,320.1,-92.6,0.276,-92.2,-93.1,19.05,12752.03
2024-07-02 10:55:00,8360,2,2024,184,654,13.24,16.53,16.69,16.35,0.073,0.672,0.752,0.619,0.028,952,952,952.0,0.026,0,0.841,1.59,0.09,0.436,97.9,359,9,90.7,650.3,651.6,649.2,0.643,84.9,85.2,84.8,0.101,859.0,860.0,857.0,0.636,20.32,12096.79,321.0,0.333,321.5,320.4,-92.6,0.398,-92.0,-93.3,19.13,12711.76
2024-07-02 10:56:00,8361,2,2024,184,655,13.24,16.73,16.9,16.47,0.109,0.742,0.845,0.619,0.062,952,952,952.0,0.028,0,0.868,1.45,0.28,0.332,68.3,109,7,20.06,651.4,652.3,649.2,0.595,85.2,85.7,84.8,0.246,859.0,861.0,853.0,1.665,20.45,12035.7,320.9,0.249,321.4,320.5,-93.1,0.167,-92.7,-93.4,19.18,12683.83
2024-07-02 10:57:00,8362,2,2024,184,656,13.24,16.6,16.92,16.32,0.192,0.664,0.712,0.622,0.016,952,952,952.0,0.029,0,1.412,2.04,0.73,0.315,50.63,87,3,14.87,646.5,649.2,644.5,1.475,86.0,86.1,85.7,0.122,848.0,854.0,845.0,2.707,20.53,11996.06,321.1,0.381,321.6,320.5,-93.2,0.43,-92.6,-93.8,19.26,12642.27
2024-07-02 10:58:00,8363,2,2024,184,657,13.24,16.8,16.97,16.68,0.063,0.754,0.835,0.659,0.05,952,952,952.0,0.035,0,1.263,1.77,0.65,0.223,65.47,357,0,113.4,650.0,652.4,646.9,1.388,85.9,86.1,85.8,0.107,852.0,855.0,847.0,1.757,20.56,11981.1,321.6,0.459,322.4,320.7,-93.2,0.332,-92.6,-93.8,19.33,12603.3
2024-07-02 10:59:00,8364,2,2024,184,658,13.24,16.93,16.99,16.88,0.028,0.747,0.792,0.639,0.039,952,952,952.0,0.026,0,1.943,3.06,0.55,0.652,80.9,126,14,24.3,651.9,652.8,651.0,0.422,85.9,86.1,85.8,0.093,853.0,855.0,851.0,0.874,20.66,11930.47,322.4,0.344,323.2,321.6,-92.6,0.391,-91.8,-93.5,19.36,12588.48
2024-07-02 11:00:00,8365,2,2024,184,659,13.24,16.89,17.33,16.62,0.186,0.781,0.838,0.682,0.039,952,952,952.0,0.031,0,1.523,1.9,0.24,0.36,113.5,268,69,32.69,651.6,653.5,650.6,0.555,86.2,86.3,86.1,0.05,851.0,854.0,849.0,1.147,20.73,11892.73,322.9,0.77,323.9,321.6,-92.6,0.575,-91.9,-93.6,19.47,12533.81
2024-07-02 11:01:00,8366,2,2024,184,660,13.23,17.19,17.48,16.69,0.252,0.661,0.685,0.619,0.013,952,952,952.0,0.025,0,1.134,2.25,0.32,0.507,59.15,349,13,45.57,653.2,654.8,651.9,0.65,86.5,86.7,86.3,0.149,851.0,853.0,850.0,0.815,20.84,11839.54,322.1,0.8,323.5,321.3,-93.8,0.887,-92.2,-94.7,19.52,12504.26
2024-07-02 11:02:00,8367,2,2024,184,661,13.24,16.71,16.93,16.54,0.097,0.751,0.838,0.629,0.055,952,952,952.0,0.035,0,1.05,2.11,0.24,0.433,59.13,121,2,31.64,655.6,658.4,653.7,1.529,86.6,86.7,86.4,0.088,853.0,857.0,850.0,2.045,20.88,11819.82,322.7,0.69,323.6,321.5,-93.6,0.489,-93.1,-94.5,19.62,12454.58
2024-07-02 11:03:00,8368,2,2024,184,662,13.23,16.99,17.17,16.84,0.092,0.667,0.725,0.619,0.019,952,952,952.0,0.024,0,1.172,1.81,0.64,0.354,122.3,165,85,18.09,658.3,660.6,656.7,0.978,86.2,86.4,86.0,0.116,856.0,859.0,854.0,1.26,21.04,11745.37,323.3,0.168,323.6,322.9,-93.4,0.129,-93.2,-93.7,19.65,12437.97
2024-07-02 11:04:00,8369,2,2024,184,663,13.23,16.99,17.11,16.84,0.064,0.739,0.838,0.629,0.064,952,952,952.0,0.028,0,0.932,1.65,0.32,0.304,94.7,359,6,74.11,660.7,662.5,659.1,0.788,85.9,86.0,85.9,0.038,859.0,861.0,857.0,1.09,21.1,11717.26,323.6,0.448,324.5,322.9,-93.5,0.399,-92.9,-94.1,19.76,12380.54
2024-07-02 11:05:00,8370,2,2024,184,664,13.19,17.28,17.41,16.98,0.126,0.681,0.778,0.619,0.034,952,952,952.0,0.035,0,1.39,2.2,0.35,0.395,116.2,149,50,23.15,661.9,662.9,660.5,0.555,86.1,86.2,86.0,0.041,859.0,860.0,857.0,0.964,21.26,11636.5,324.2,0.651,325.0,323.1,-93.3,0.724,-92.5,-94.6,19.82,12352.61
2024-07-02 11:06:00,8371,2,2024,184,665,13.23,16.88,17.38,16.57,0.256,0.723,0.838,0.625,0.064,952,952,952.0,0.031,0,0.935,1.8,0.41,0.305,134.7,179,107,11.46,664.7,666.6,662.1,1.323,86.0,86.1,85.9,0.062,862.0,864.0,859.0,1.346,21.34,11600.93,323.0,0.461,323.7,322.3,-94.8,0.34,-94.3,-95.4,19.91,12303.06
2024-07-02 11:07:00,8372,2,2024,184,666,13.19,16.59,16.7,16.38,0.093,0.7,0.822,0.622,0.051,952,952,952.0,0.027,0,0.501,1.21,0.17,0.287,139.2,191,95,25.42,665.1,666.3,664.0,0.542,86.2,86.4,86.0,0.109,861.0,864.0,859.0,1.4,21.5,11525.21,323.5,0.36,324.4,323.0,-94.8,0.313,-94.0,-95.1,19.94,12290.26
2024-07-02 11:08:00,8373,2,2024,184,667,13.23,16.81,17.06,16.46,0.195,0.7,0.815,0.622,0.051,952,952,952.0,0.032,0,1.201,2.02,0.2,0.431,136.6,160,111,11.74,665.0,666.4,663.9,0.531,86.6,87.0,86.3,0.185,859.0,860.0,857.0,0.852,21.59,11483.31,323.7,0.695,324.5,322.7,-94.9,0.802,-93.9,-96.1,20.01,12254.54
2024-07-02 11:09:00,8374,2,2024,184,668,13.19,16.81,16.94,16.65,0.08,0.722,0.838,0.622,0.066,952,952,952.0,0.031,0,0.623,1.2,0.09,0.295,133.2,175,63,24.88,663.9,665.2,661.7,0.829,87.0,87.1,86.9,0.026,853.0,857.0,805.0,7.001,21.74,11410.25,323.9,0.441,324.5,322.9,-95.1,0.387,-94.6,-95.9,20.08,12219.33
2024-07-02 11:10:00,8375,2,2024,184,669,13.22,16.67,16.81,16.51,0.106,0.681,0.785,0.622,0.035,952,952,952.0,0.032,0,1.025,1.56,0.43,0.254,195.2,235,121,28.58,662.6,664.8,661.2,0.869,87.2,87.3,87.0,0.094,852.0,854.0,850.0,0.91,21.81,11375.83,323.9,0.326,324.5,323.5,-95.3,0.341,-94.7,-95.6,20.11,12201.94
