"TOA5","SAO JOAO PIAUI -PI","CR1000X","23877","CR1000X.Std.04.02","CPU:SAO JOAO_PI_Rev01.CR1X","54873","Tab_dados_SJP_PI"
"TIMESTAMP","RECORD","SAOJOAO_PI_8.361576S_42.254068O_228m","Vel_Avg","Vel_Max","Vel_Min","Vel_Std","Temp_Avg","Temp_Max","Temp_Min","Temp_Std","UR_Avg","UR_Max","UR_Min","UR_Std","GHI1_Avg","GHI1_Max","GHI1_Min","GHI1_Std","GHI2_Avg","GHI2_Max","GHI2_Min","GHI2_Std","GHI3_Avg","GHI3_Max","GHI3_Min","GHI3_Std","GRI_Avg","GRI_Max","GRI_Min","GRI_Std","ALB1_Avg","ALB1_Max","ALB1_Min","ALB1_Std","ALB2_Avg","ALB2_Max","ALB2_Min","ALB2_Std","ALB3_Avg","ALB3_Max","ALB3_Min","ALB3_Std","Cell_Isc_Avg","Cell_Isc_Max","Cell_Isc_Min","Cell_Isc_Std","Cell_Temp_Avg","Cell_Temp_Max","Cell_Temp_Min","Cell_Temp_Std","BattV_Min","PTemp_C"
"TS","RN","","m/s","m/s","m/s","m/s","Deg C","Deg C","Deg C","Deg C","RH","RH","RH","RH","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m²","W/m²","W/m²","W/m²","W/m^2","W/m^2","W/m^2","W/m^2","","","","","","","","","","","","","Amps","Amps","Amps","Amps","°C","°C","°C","°C","Volts","Deg C"
"","","Smp:Sample","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Avg","Max","Min","Std","Min","Smp"
2024-07-06 00:00:00,1250747,1,2.754,3.647,1.247,0.655,27.59,27.62,27.56,0.014,55.51,55.58,55.45,0.029,-2.759461,-2.726305,-2.7966,0.0184253,-2.633992,-2.592362,-2.678098,0.02567597,0.0,0.0,0.0,0.0,0.5380989,0.5633752,0.5244224,0.008037081,-0.1952635,-0.1890952,-0.2059563,0.003627546,-0.2045891,-0.1966925,-0.2173212,0.004208823,NAN,inf,inf,NAN,-0.00051358,-0.0004872936,-0.0005289159,9.986151e-06,28.14935,28.20514,28.09124,0.01966247,12.67,27.22
2024-07-06 00:01:00,1250748,1,3.06,4.447,1.247,0.798,27.58,27.6,27.54,0.013,55.55,55.6,55.49,0.023,-2.792603,-2.768162,-2.814542,0.01284787,-2.662579,-2.628198,-2.692027,0.01755798,0.0,0.0,0.0,0.0,0.5062476,0.5268188,0.478765,0.01171828,-0.1813831,-0.1724281,-0.1909459,0.004027912,-0.190232,-0.1817476,-0.1996275,0.003819016,NAN,inf,inf,NAN,-0.0005152301,-0.0004994569,-0.0005286593,9.581839e-06,28.14909,28.20618,28.09177,0.01978689,12.67,27.23
2024-07-06 00:02:00,1250749,1,3.047,4.447,1.247,0.987,27.58,27.62,27.56,0.011,55.57,55.62,55.53,0.019,-2.781739,-2.764113,-2.805183,0.00907502,-2.638451,-2.61696,-2.681419,0.01476927,0.0,0.0,0.0,0.0,0.4919725,0.5231885,0.4680904,0.01210552,-0.1768605,-0.1686534,-0.1869944,0.004152454,-0.186435,-0.1778968,-0.1957155,0.004057521,NAN,inf,inf,NAN,-0.000513491,-0.0004870369,-0.0005286593,1.168695e-05,28.14593,28.19574,28.0902,0.01930783,12.67,27.24
2024-07-06 00:03:00,1250750,1,2.487,4.447,1.247,0.592,27.58,27.6,27.54,0.015,55.59,55.64,55.54,0.028,-2.788766,-2.77083,-2.805569,0.007150162,-2.658681,-2.638041,-2.680729,0.010183,0.0,0.0,0.0,0.0,0.5271164,0.5506224,0.5057715,0.009844035,-0.1889846,-0.1818157,-0.196704,0.003406411,-0.1982274,-0.1913394,-0.2065209,0.003263396,NAN,inf,inf,NAN,-0.0005179775,-0.0005004834,-0.0005286593,8.943351e-06,28.135,28.17954,28.0902,0.02128544,12.67,27.24
2024-07-06 00:04:00,1250751,1,3.007,4.447,2.047,0.65,27.56,27.59,27.53,0.015,55.66,55.7,55.59,0.029,-2.785466,-2.762732,-2.799001,0.00779383,-2.656075,-2.630617,-2.676538,0.01109214,0.0,0.0,0.0,0.0,0.5166911,0.5431727,0.4895305,0.01254229,-0.1856513,-0.1763654,-0.1948183,0.004075259,-0.1946854,-0.1859575,-0.2034408,0.003966899,NAN,inf,inf,NAN,-0.0005156278,-0.0005002268,-0.0005286593,9.11049e-06,28.11631,28.15289,28.06304,0.01939871,12.67,27.25
2024-07-06 00:05:00,1250752,1,2.554,4.447,1.247,0.851,27.54,27.58,27.52,0.012,55.7,55.76,55.65,0.02,-2.775076,-2.760319,-2.789125,0.006990449,-2.650654,-2.630251,-2.685828,0.01493364,0.0,0.0,0.0,0.0,0.5108274,0.5354075,0.4861996,0.0122802,-0.1839017,-0.1756495,-0.1921355,0.00431252,-0.1925618,-0.1841823,-0.2004784,0.003959898,NAN,inf,inf,NAN,-0.0005136236,-0.0004872936,-0.0005286593,1.085867e-05,28.11206,28.15184,28.05416,0.02009865,12.67,27.26
2024-07-06 00:06:00,1250753,1,2.754,5.247,1.247,0.936,27.52,27.56,27.49,0.014,55.77,55.84,55.7,0.031,-2.776824,-2.754829,-2.793324,0.007556102,-2.662831,-2.642376,-2.687165,0.01062683,0.0,0.0,0.0,0.0,0.5020373,0.5322074,0.4724559,0.01231621,-0.1809281,-0.1705248,-0.1915637,0.004305677,-0.188677,-0.1787996,-0.199257,0.004302336,NAN,inf,inf,NAN,-0.0005171221,-0.00050074,-0.0005294291,9.100152e-06,28.08927,28.1346,28.04476,0.01843554,12.67,27.26
2024-07-06 00:07:00,1250754,1,2.994,4.447,2.047,0.593,27.51,27.53,27.49,0.011,55.84,55.89,55.79,0.024,-2.777184,-2.763501,-2.790639,0.006519376,-2.662942,-2.645232,-2.683921,0.009979227,0.0,0.0,0.0,0.0,0.4898854,0.5139437,0.4700383,0.0113064,-0.1763541,-0.169167,-0.1847101,0.003896278,-0.1839194,-0.1770381,-0.1917793,0.003704266,NAN,inf,inf,NAN,-0.0005145226,-0.0004870369,-0.0005291725,1.053805e-05,28.06811,28.1064,28.03483,0.01815145,12.67,27.27
