TIMESTAMP,RECORD,ID,Ano,Dia,MinDia,T_Bat,TEMP_Avg,TEMP_Max,TEMP_Min,TEMP_Std,UR_Avg,UR_Max,UR_Min,UR_Std,PRES_Avg,PRES_Max,PRES_Min,PRES_Std,Prec_Tot,VEL_Avg,VEL_Max,VEL_Min,VEL_Std,DIR_Avg,DIR_Max,DIR_Min,DIR_Std,GHI1_Avg,GHI1_Max,GHI1_Min,GHI1_Std,DHI_Avg,DHI_Max,DHI_Min,DHI_Std,BNI_Avg,BNI_Max,BNI_Min,BNI_Std,Temp_BNI,Res_BNI,LWD_Avg,LWD_Std,LWD_Max,LWD_Min,OLD_Avg,OLD_Std,OLD_Max,OLD_Min,Temp_OLD,Res_OLD
2024-07-03 00:00:00,9144,2,2024,184,1439,13.28,13.53,13.64,13.39,0.055,0.692,0.812,0.616,0.057,949,949,949.0,0.031,0,0.751,0.91,0.47,0.114,241.1,247,236,2.735,-1.737,-1.686,-1.765,0.022,-1.43,-1.404,-1.471,0.024,-0.427,-0.365,-0.447,0.024,12.94,16522.76,318.5,0.137,318.8,318.3,-64.65,0.137,-64.44,-64.89,13.57,16080.48
2024-07-03 00:01:00,9145,2,2024,185,0,13.25,13.5,13.6,13.3,0.084,0.711,0.819,0.612,0.051,949,949,949.0,0.028,0,0.785,0.93,0.56,0.097,241.1,247,229,3.288,-1.765,-1.725,-1.804,0.023,-1.475,-1.471,-1.504,0.011,-0.386,-0.365,-0.447,0.026,12.92,16537.69,318.4,0.2,318.8,318.0,-64.73,0.11,-64.55,-64.89,13.52,16116.2
2024-07-03 00:02:00,9146,2,2024,185,1,13.29,13.28,13.35,13.17,0.04,0.766,0.812,0.715,0.021,949,949,949.0,0.037,0,0.692,0.9,0.48,0.133,237,249,226,5.355,-1.818,-1.765,-1.843,0.029,-1.533,-1.471,-1.604,0.025,-0.367,-0.325,-0.406,0.01,12.87,16574.71,318.2,0.092,318.4,318.0,-64.61,0.111,-64.35,-64.83,13.49,16133.73
2024-07-03 00:03:00,9147,2,2024,185,2,13.25,13.53,13.66,13.33,0.085,0.708,0.825,0.639,0.064,949,949,949.0,0.034,0,0.886,0.95,0.79,0.037,223.7,226,219,1.682,-1.853,-1.843,-1.921,0.018,-1.594,-1.538,-1.638,0.019,-0.338,-0.284,-0.365,0.024,12.85,16586.4,318.9,0.279,319.3,318.4,-63.77,0.36,-63.28,-64.35,13.44,16170.1
2024-07-03 00:04:00,9148,2,2024,185,3,13.29,13.47,13.55,13.38,0.047,0.66,0.739,0.606,0.031,949,949,949.0,0.023,0,0.842,0.95,0.71,0.053,213.9,222,206,3.841,-1.897,-1.843,-1.921,0.021,-1.604,-1.571,-1.638,0.006,-0.346,-0.284,-0.406,0.024,12.82,16611.08,319.2,0.068,319.3,319.0,-63.24,0.063,-63.14,-63.34,13.41,16191.66
2024-07-03 00:05:00,9149,2,2024,185,4,13.28,13.55,13.75,13.36,0.144,0.721,0.819,0.612,0.062,949,949,949.0,0.032,0,0.721,0.88,0.5,0.068,221.3,231,207,5.944,-1.89,-1.843,-1.921,0.019,-1.583,-1.538,-1.604,0.023,-0.388,-0.365,-0.406,0.02,12.81,16618.22,319.2,0.041,319.3,319.1,-63.18,0.07,-63.05,-63.25,13.39,16203.87
2024-07-03 00:06:00,9150,2,2024,185,5,13.29,13.58,13.7,13.46,0.061,0.65,0.705,0.606,0.017,949,949,949.0,0.031,0,0.92,1.04,0.75,0.071,226.9,232,223,1.967,-1.856,-1.843,-1.882,0.018,-1.509,-1.471,-1.571,0.027,-0.421,-0.365,-0.447,0.025,12.79,16628.62,319.2,0.067,319.3,319.0,-62.99,0.039,-62.88,-63.05,13.38,16213.89
2024-07-03 00:07:00,9151,2,2024,185,6,13.29,13.43,13.49,13.34,0.032,0.73,0.819,0.612,0.058,949,949,949.0,0.027,0,0.83,1.02,0.54,0.109,227.5,237,210,4.863,-1.812,-1.765,-1.843,0.026,-1.466,-1.437,-1.471,0.011,-0.454,-0.406,-0.487,0.017,12.75,16654.37,319.1,0.073,319.2,318.9,-63.04,0.034,-62.94,-63.08,13.35,16231.8
2024-07-03 00:08:00,9152,2,2024,185,7,13.29,13.33,13.48,13.25,0.059,0.645,0.679,0.602,0.013,949,949,949.0,0.037,0,0.807,1.15,0.56,0.132,228.5,240,203,6.054,-1.779,-1.725,-1.804,0.02,-1.439,-1.404,-1.471,0.013,-0.43,-0.406,-0.487,0.025,12.75,16657.19,319.1,0.119,319.4,318.9,-62.78,0.177,-62.49,-63.08,13.29,16275.67
2024-07-03 00:09:00,9153,2,2024,185,8,13.29,13.43,13.53,13.35,0.043,0.735,0.815,0.622,0.051,949,949,949.0,0.026,0,0.796,1.19,0.54,0.145,221.1,236,200,7.617,-1.73,-1.686,-1.765,0.022,-1.403,-1.37,-1.437,0.017,-0.434,-0.406,-0.487,0.023,12.72,16680.36,319.4,0.172,319.9,319.2,-62.46,0.175,-62.06,-62.71,13.31,16259.08
